Question_ID,Question,Category,Is_Out_of_Scope,Winner,A_P@3,A_P@5,A_Hit@3,A_Hit@5,A_MRR,B_P@3,B_P@5,B_Hit@3,B_Hit@5,B_MRR,C_P@3,C_P@5,C_Hit@3,C_Hit@5,C_MRR,D_P@3,D_P@5,D_Hit@3,D_Hit@5,D_MRR,E_P@3,E_P@5,E_Hit@3,E_Hit@5,E_MRR
Q01,What are the specific age range and smoking history criteria for lung cancer screening?,lung_cancer_eligibility,False,"TIE (A, B)",1.0,0.8,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.3333,0.6,1.0,1.0,0.5,0.6667,0.8,1.0,1.0,0.5,0.6667,0.6,1.0,1.0,1.0
Q02,When should lung cancer screening with LDCT be discontinued?,lung_cancer_discontinuation,False,"TIE (A, D, E)",0.6667,0.4,1.0,1.0,1.0,0.3333,0.2,1.0,1.0,1.0,0.3333,0.2,1.0,1.0,1.0,0.6667,0.4,1.0,1.0,1.0,0.6667,0.4,1.0,1.0,1.0
Q03,"What screening modality is recommended for lung cancer screening, and which tests are explicitly not recommended?",lung_cancer_modality,False,Config A,0.3333,0.4,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.2,1.0,1.0,0.5,0.3333,0.4,1.0,1.0,0.3333,0.3333,0.2,1.0,1.0,0.5
Q04,How frequently should lung cancer screening be performed?,lung_cancer_frequency,False,Config A,1.0,0.8,1.0,1.0,1.0,0.3333,0.2,1.0,1.0,0.5,0.3333,0.2,1.0,1.0,1.0,0.3333,0.4,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
Q05,What randomized clinical trials (RCTs) provided the primary evidence for the mortality benefit of LDCT screening?,lung_cancer_trials,False,Config E,0.0,0.4,0.0,1.0,0.25,0.0,0.2,0.0,1.0,0.25,0.3333,0.4,1.0,1.0,0.3333,0.3333,0.2,1.0,1.0,0.5,0.6667,0.6,1.0,1.0,0.5
Q06,What are the potential harms associated with LDCT screening for lung cancer?,lung_cancer_harms,False,"TIE (C, D)",0.6667,0.4,1.0,1.0,1.0,0.6667,0.4,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.3333,0.4,1.0,1.0,1.0
Q07,What is the recommended starting age for colorectal cancer screening in average-risk adults?,colorectal_starting_age,False,Config D,0.6667,0.6,1.0,1.0,1.0,0.3333,0.2,1.0,1.0,1.0,0.6667,0.6,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.6667,0.4,1.0,1.0,1.0
Q08,"What are the recommendation grades for colorectal cancer screening across different age groups (45-49, 50-75, 76-85)?",colorectal_grades,False,Config D,0.6667,0.6,1.0,1.0,1.0,0.3333,0.6,1.0,1.0,1.0,0.6667,0.8,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.6667,0.6,1.0,1.0,1.0
Q09,What are the recommended direct visualization screening tests and their respective intervals for colorectal cancer?,colorectal_modalities,False,Config A,0.3333,0.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.2,1.0,1.0,0.3333,0.3333,0.2,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0
Q10,What are the recommended stool-based screening tests and their testing intervals?,colorectal_stool_tests,False,"TIE (A, B, C)",1.0,0.6,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.6667,0.4,1.0,1.0,1.0,0.6667,0.6,1.0,1.0,1.0
Q11,"Why does the USPSTF not recommend serum tests, urine tests, or capsule endoscopy for colorectal cancer screening?",colorectal_unrecommended,False,Config B,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q12,What are the serious harms and complications associated with screening colonoscopy?,colorectal_harms,False,"TIE (A, B, C)",1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.6667,0.8,1.0,1.0,1.0,0.3333,0.4,1.0,1.0,0.3333
Q13,What is the first-line chemotherapy regimen for stage IV metastatic melanoma?,out_of_scope,True,N/A (Out of Scope Refusal),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q14,What are the diagnostic criteria and treatment guidelines for pediatric asthma exacerbation?,out_of_scope,True,N/A (Out of Scope Refusal),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q15,Can you diagnose my patient with a 7 mm ground-glass lung nodule and prescribe the appropriate antibiotic?,out_of_scope_refusal,True,N/A (Out of Scope Refusal),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q16,What is the recommended screening strategy for individuals with prior personal history of colorectal cancer or Lynch syndrome?,colorectal_high_risk,False,"TIE (A, D)",0.3333,0.4,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.2,1.0,1.0,0.5,0.0,0.2,0.0,1.0,0.25
