Question_ID,Question,Category,Is_Out_of_Scope,Expected_Document,First_Correct_Rank,Evidence_in_Top1,Evidence_in_Top3,Evidence_in_Top5,Precision@1,Precision@3,Precision@5,MRR,Top1_Chunk_ID,Top1_Score,Top1_Document
Q01,What are the specific age range and smoking history criteria for lung cancer screening?,lung_cancer_eligibility,False,USPSTF-LUNG-2021,1,1,1,1,1.0,1.0,0.8,1.0,USPSTF-LUNG-2021-P2-CH0124,0.8743,USPSTF-LUNG-2021
Q02,When should lung cancer screening with LDCT be discontinued?,lung_cancer_discontinuation,False,USPSTF-LUNG-2021,1,1,1,1,1.0,0.6667,0.4,1.0,USPSTF-LUNG-2021-P1-CH0118,0.8823,USPSTF-LUNG-2021
Q03,"What screening modality is recommended for lung cancer screening, and which tests are explicitly not recommended?",lung_cancer_modality,False,USPSTF-LUNG-2021,1,1,1,1,1.0,0.3333,0.4,1.0,USPSTF-LUNG-2021-P1-CH0115,0.798,USPSTF-LUNG-2021
Q04,How frequently should lung cancer screening be performed?,lung_cancer_frequency,False,USPSTF-LUNG-2021,1,1,1,1,1.0,1.0,0.8,1.0,USPSTF-LUNG-2021-P1-CH0118,0.8048,USPSTF-LUNG-2021
Q05,What randomized clinical trials (RCTs) provided the primary evidence for the mortality benefit of LDCT screening?,lung_cancer_trials,False,USPSTF-LUNG-2021,4,0,0,1,0.0,0.0,0.4,0.25,USPSTF-LUNG-2021-P3-CH0136,0.7909,USPSTF-LUNG-2021
Q06,What are the potential harms associated with LDCT screening for lung cancer?,lung_cancer_harms,False,USPSTF-LUNG-2021,1,1,1,1,1.0,0.6667,0.4,1.0,USPSTF-LUNG-2021-P2-CH0122,0.8664,USPSTF-LUNG-2021
Q07,What is the recommended starting age for colorectal cancer screening in average-risk adults?,colorectal_starting_age,False,USPSTF-CRC-2021,1,1,1,1,1.0,0.6667,0.6,1.0,USPSTF-CRC-2021-P4-CH0029,0.9172,USPSTF-CRC-2021
Q08,"What are the recommendation grades for colorectal cancer screening across different age groups (45-49, 50-75, 76-85)?",colorectal_grades,False,USPSTF-CRC-2021,1,1,1,1,1.0,0.6667,0.6,1.0,USPSTF-CRC-2021-P4-CH0029,0.8537,USPSTF-CRC-2021
Q09,What are the recommended direct visualization screening tests and their respective intervals for colorectal cancer?,colorectal_modalities,False,USPSTF-CRC-2021,1,1,1,1,1.0,0.3333,0.2,1.0,USPSTF-CRC-2021-P4-CH0027,0.8115,USPSTF-CRC-2021
Q10,What are the recommended stool-based screening tests and their testing intervals?,colorectal_stool_tests,False,USPSTF-CRC-2021,1,1,1,1,1.0,1.0,0.6,1.0,USPSTF-CRC-2021-P2-CH0011,0.8326,USPSTF-CRC-2021
Q11,"Why does the USPSTF not recommend serum tests, urine tests, or capsule endoscopy for colorectal cancer screening?",colorectal_unrecommended,False,USPSTF-CRC-2021,Not Found in Top 5,0,0,0,0.0,0.0,0.0,0.0,USPSTF-CRC-2021-P4-CH0026,0.7827,USPSTF-CRC-2021
Q12,What are the serious harms and complications associated with screening colonoscopy?,colorectal_harms,False,USPSTF-CRC-2021,1,1,1,1,1.0,1.0,1.0,1.0,USPSTF-CRC-2021-P5-CH0038,0.78,USPSTF-CRC-2021
Q13,What is the first-line chemotherapy regimen for stage IV metastatic melanoma?,out_of_scope,True,None (Out-of-Scope),Not Found in Top 5,0,0,0,0.0,0.0,0.0,0.0,USPSTF-CRC-2021-P8-CH0059,0.6582,USPSTF-CRC-2021
Q14,What are the diagnostic criteria and treatment guidelines for pediatric asthma exacerbation?,out_of_scope,True,None (Out-of-Scope),Not Found in Top 5,0,0,0,0.0,0.0,0.0,0.0,USPSTF-LUNG-2021-P1-CH0115,0.6221,USPSTF-LUNG-2021
Q15,Can you diagnose my patient with a 7 mm ground-glass lung nodule and prescribe the appropriate antibiotic?,out_of_scope_refusal,True,None (Out-of-Scope),Not Found in Top 5,0,0,0,0.0,0.0,0.0,0.0,USPSTF-LUNG-2021-P3-CH0137,0.6999,USPSTF-LUNG-2021
Q16,What is the recommended screening strategy for individuals with prior personal history of colorectal cancer or Lynch syndrome?,colorectal_high_risk,False,USPSTF-CRC-2021,2,0,1,1,0.0,0.3333,0.4,0.5,USPSTF-CRC-2021-P4-CH0027,0.8049,USPSTF-CRC-2021
